chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.5312,0.5312,0.5625,0.5625,0.5,0.0,0.5312,0.5625,0.25,0.5,0.25,0.5,1.0,0.25,0.25,0.25,1.0,1.0,0.25,0.5,0.75,0.75,0.25,0.25,0.25,0.25,1.0,1.0,0.25,0.5,0.75,0.75,0.25
extension -> iteration,0.3896,0.5833,0.6458,0.3542,0.1667,0.3333,0.5833,0.6458,0.3333,0.1667,0.3333,0.1667,1.0,0.3333,0.3333,0.5,0.8333,1.0,0.6667,0.5,0.6667,0.6667,0.8333,0.3333,0.3333,0.5,0.8333,1.0,0.6667,0.5,0.6667,0.6667,0.8333
extension -> partitioning,0.625,0.8125,0.5,0.5,0.5,0.0,0.8125,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
extension -> reindexing,0.5156,0.75,0.7969,0.4688,0.25,0.375,0.75,0.7969,0.375,0.25,0.375,0.25,1.0,0.625,0.75,0.625,0.875,0.875,0.625,0.75,0.875,0.875,0.75,0.625,0.75,0.625,0.875,0.875,0.625,0.75,0.875,0.875,0.75
iteration,0.6438,0.9062,0.6875,0.1875,0.75,0.5,0.9062,0.6875,1.0,0.75,1.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.5,0.75,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.5,0.75,0.75,1.0
iteration -> extension,0.5188,0.7812,0.6875,0.6875,0.0,0.0,0.7812,0.6875,0.0,0.0,0.0,0.0,1.0,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.75,0.75,0.5
iteration -> partitioning,0.7125,0.9,0.975,0.975,0.2,0.0,0.9,0.975,0.2,0.2,0.2,0.2,1.0,0.6,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
iteration -> permutation,0.35,0.3125,0.5,0.5,0.25,0.0,0.3125,0.5,0.0,0.25,0.0,0.25,1.0,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
iteration -> reindexing,0.5036,0.6964,0.4643,0.4643,0.2857,0.0,0.6964,0.4643,0.2857,0.2857,0.2857,0.2857,1.0,0.4286,0.8571,0.8571,0.5714,0.5714,0.4286,0.4286,0.4286,0.2857,1.0,0.4286,0.8571,0.8571,0.5714,0.5714,0.4286,0.4286,0.4286,0.2857,1.0
partitioning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
