chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.5531,0.5625,0.5938,0.5938,0.5,0.0,0.5625,0.5938,1.0,0.5,1.0,0.5,1.0,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.75
extension -> iteration,0.3354,0.4792,0.3125,0.1458,0.3333,0.1667,0.4792,0.3125,0.3333,0.3333,0.3333,0.3333,1.0,0.3333,0.5,0.5,0.5,0.5,0.1667,0.3333,0.3333,0.3333,0.3333,0.3333,0.5,0.5,0.5,0.5,0.1667,0.3333,0.3333,0.3333,0.3333
extension -> partitioning,0.7938,1.0,0.8125,0.8125,0.5,0.0,1.0,0.8125,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0
extension -> reindexing,0.4922,0.6094,0.6406,0.4531,0.375,0.25,0.6094,0.6406,0.375,0.375,0.375,0.375,1.0,0.5,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.5,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.75
iteration,0.6281,0.75,0.8438,0.3438,0.75,0.5,0.75,0.6875,0.75,0.5,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0
iteration -> extension,0.5844,0.5938,0.6562,0.6562,0.5,0.0,0.5938,0.6562,0.25,0.5,0.25,0.5,1.0,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.75
iteration -> partitioning,0.5775,0.6,0.925,0.925,0.2,0.0,0.425,0.925,0.2,0.2,0.2,0.2,1.0,0.4,0.4,0.4,0.4,0.6,0.8,0.8,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.8,0.8,1.0,1.0,1.0
iteration -> permutation,0.3,0.375,0.5,0.25,0.25,0.25,0.375,0.5,0.0,0.25,0.0,0.25,1.0,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5
iteration -> reindexing,0.5536,0.6071,0.75,0.75,0.2857,0.0,0.6071,0.75,0.1429,0.2857,0.1429,0.2857,1.0,0.4286,0.5714,0.5714,0.7143,0.7143,0.5714,0.7143,0.8571,0.7143,0.8571,0.4286,0.5714,0.5714,0.7143,0.7143,0.5714,0.7143,0.8571,0.7143,0.8571
partitioning,0.45,0.375,1.0,0.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
partitioning -> extension,0.6594,0.5,0.7812,0.7812,0.75,0.0,0.5,0.75,0.5,0.75,0.5,0.75,1.0,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.875,0.75,0.75
partitioning -> iteration,0.5792,0.4792,0.9167,0.7917,0.5,0.1667,0.3333,0.8542,0.1667,0.5,0.1667,0.5,1.0,0.1667,0.1667,0.3333,0.5,0.5,0.5,0.6667,1.0,1.0,1.0,0.1667,0.3333,0.5,0.6667,0.6667,0.6667,0.8333,1.0,1.0,1.0
partitioning -> permutation,0.55,0.8125,0.75,0.75,0.0,0.0,0.8125,0.75,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5
partitioning -> reindexing,0.2425,0.25,0.675,0.475,0.0,0.2,0.25,0.675,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.4,0.2,0.8,0.2,0.6,0.8,0.8,0.8,0.0,0.0,0.4,0.2,0.8,0.2,0.6,0.8,0.8,0.8
