chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.5844,0.7812,0.6562,0.6562,0.25,0.0,0.7812,0.6562,0.5,0.25,0.5,0.25,1.0,0.25,0.75,0.75,1.0,1.0,0.75,0.75,0.5,0.75,0.5,0.25,0.75,0.75,1.0,1.0,0.75,0.75,0.5,0.75,0.5
extension -> iteration,0.4792,0.7292,0.625,0.4583,0.1667,0.1667,0.7292,0.625,0.3333,0.1667,0.3333,0.1667,1.0,0.6667,0.5,0.8333,0.8333,0.8333,0.5,0.3333,0.6667,0.8333,0.8333,0.6667,0.5,0.8333,0.8333,0.8333,0.5,0.3333,0.6667,0.8333,0.8333
extension -> partitioning,0.4875,0.9375,0.375,0.375,0.0,0.0,0.9375,0.375,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5
extension -> reindexing,0.6688,0.875,0.8125,0.5625,0.5,0.25,0.875,0.8125,0.375,0.5,0.375,0.5,1.0,0.75,0.875,0.75,1.0,1.0,0.75,0.875,0.875,0.75,0.75,0.75,0.875,0.75,1.0,1.0,0.75,0.875,0.875,0.75,0.75
iteration,0.6812,1.0,0.6875,0.1875,0.75,0.5,1.0,0.6875,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.75,1.0
iteration -> extension,0.6812,0.9062,0.8125,0.8125,0.25,0.0,0.9062,0.8125,0.0,0.25,0.0,0.25,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.75,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.75,0.75,1.0,1.0
iteration -> partitioning,0.3125,0.35,0.375,0.375,0.2,0.0,0.35,0.375,0.4,0.2,0.4,0.2,1.0,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.4
iteration -> permutation,0.1844,0.1562,0.1562,0.1562,0.25,0.0,0.1562,0.1562,0.0,0.25,0.0,0.25,1.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.25
iteration -> reindexing,0.3429,0.4286,0.4286,0.4286,0.1429,0.0,0.4286,0.4286,0.2857,0.1429,0.2857,0.1429,1.0,0.4286,0.5714,0.4286,0.2857,0.4286,0.2857,0.2857,0.5714,0.2857,0.8571,0.4286,0.5714,0.4286,0.2857,0.4286,0.2857,0.2857,0.5714,0.2857,0.8571
partitioning,0.05,0.125,0.375,0.0,0.0,1.0,0.125,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
partitioning -> extension,0.2922,0.25,0.3906,0.3906,0.25,0.0,0.25,0.3906,0.0,0.25,0.0,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.5,0.125,0.375,0.5,0.625,0.25,0.25,0.25,0.25,0.25,0.5,0.125,0.375,0.5,0.625
partitioning -> iteration,0.3667,0.1667,0.6667,0.6667,0.3333,0.0,0.1667,0.6667,0.1667,0.3333,0.1667,0.3333,1.0,0.3333,0.0,0.1667,0.1667,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.3333,0.0,0.1667,0.1667,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667
partitioning -> permutation,0.35,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
partitioning -> reindexing,0.2875,0.1,0.625,0.625,0.2,0.0,0.1,0.625,0.2,0.2,0.2,0.2,1.0,0.0,0.2,0.2,0.0,0.0,0.2,0.6,0.8,0.8,0.4,0.0,0.2,0.2,0.0,0.0,0.2,0.6,0.8,0.8,0.4
permutation,0.4156,0.3125,0.4688,0.4688,0.5,0.0,0.3125,0.4688,0.75,0.5,0.75,0.5,1.0,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5
permutation -> extension,0.3656,0.6562,0.3438,0.3438,0.0,0.0,0.6562,0.3438,0.0,0.0,0.0,0.0,1.0,0.25,0.75,0.5,0.75,1.0,0.25,0.25,0.25,0.5,0.5,0.25,0.75,0.5,0.75,1.0,0.25,0.25,0.25,0.5,0.5
permutation -> iteration,0.2375,0.5,0.125,0.125,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5
permutation -> partitioning,0.475,0.8125,0.5,0.5,0.0,0.0,0.8125,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
permutation -> reindexing,0.175,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.3333,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.0,0.3333,0.0,0.3333,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.0
reindexing,0.4179,0.3214,0.5357,0.5357,0.4286,0.0,0.3214,0.5357,0.1429,0.4286,0.1429,0.4286,1.0,0.2857,0.2857,0.4286,0.2857,0.2857,0.5714,0.4286,0.5714,0.5714,0.5714,0.2857,0.2857,0.4286,0.2857,0.2857,0.5714,0.4286,0.5714,0.5714,0.5714
reindexing -> extension,0.35,0.625,0.6667,0.3333,0.0,0.3333,0.625,0.6667,0.3333,0.0,0.3333,0.0,1.0,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667
reindexing -> iteration,0.4062,0.5,0.1875,0.1875,0.5,0.0,0.5,0.1875,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5
reindexing -> partitioning,0.3196,0.4643,0.3036,0.3036,0.1429,0.0,0.4643,0.3036,0.1429,0.1429,0.1429,0.1429,1.0,0.1429,0.4286,0.5714,0.5714,0.4286,0.2857,0.2857,0.2857,0.2857,0.4286,0.1429,0.4286,0.5714,0.5714,0.4286,0.2857,0.2857,0.2857,0.2857,0.4286
reindexing -> permutation,0.0844,0.0938,0.1562,0.1562,0.0,0.0,0.0938,0.1562,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25
