chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.4781,0.4688,0.4688,0.4688,0.5,0.0,0.4688,0.4688,0.25,0.5,0.25,0.5,1.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25
extension -> iteration,0.2667,0.2917,0.4167,0.3333,0.1667,0.1667,0.2917,0.4167,0.0,0.1667,0.0,0.1667,1.0,0.1667,0.0,0.3333,0.5,0.5,0.5,0.3333,0.3333,0.5,0.5,0.1667,0.0,0.3333,0.5,0.5,0.5,0.3333,0.3333,0.5,0.5
extension -> partitioning,0.35,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
extension -> reindexing,0.5391,0.75,0.6719,0.5469,0.25,0.125,0.75,0.6719,0.5,0.25,0.5,0.25,1.0,0.375,0.875,0.625,0.875,0.875,0.5,0.625,0.625,0.75,0.875,0.375,0.875,0.625,0.875,0.875,0.5,0.625,0.625,0.75,0.875
iteration,0.5812,0.75,0.6875,0.1875,0.75,0.5,0.75,0.6875,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,1.0
iteration -> extension,0.525,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,1.0
iteration -> partitioning,0.2925,0.3,0.575,0.575,0.0,0.0,0.3,0.4,0.4,0.0,0.4,0.0,1.0,0.0,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.2,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6
iteration -> permutation,0.1188,0.0625,0.3125,0.3125,0.0,0.0,0.0625,0.3125,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.25
iteration -> reindexing,0.2661,0.1964,0.3393,0.3393,0.2857,0.0,0.1964,0.3393,0.1429,0.2857,0.1429,0.2857,1.0,0.0,0.2857,0.0,0.4286,0.1429,0.2857,0.2857,0.4286,0.2857,0.4286,0.0,0.2857,0.0,0.4286,0.1429,0.2857,0.2857,0.4286,0.2857,0.4286
partitioning,0.15,0.375,1.0,0.0,0.0,1.0,0.375,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
