chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.1312,0.0469,0.375,0.375,0.0,0.0,0.0469,0.1562,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.25,0.625,0.5,0.25
extension -> iteration,0.0743,0.0139,0.2292,0.2292,0.0,0.0,0.0,0.1042,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.1667,0.0,0.0,0.0,0.0556,0.0,0.1667,0.0,0.3333,0.3333,0.3333
extension -> partitioning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extension -> reindexing,0.05,0.125,0.0469,0.0,0.0,0.125,0.125,0.0469,0.0,0.0,0.0,0.0,1.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.0
iteration,0.15,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5
iteration -> extension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iteration -> partitioning,0.1125,0.0,0.375,0.375,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.4
iteration -> permutation,0.075,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25
iteration -> reindexing,0.0768,0.0714,0.1607,0.1607,0.0,0.0,0.0714,0.1429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1429,0.1429,0.0,0.1429,0.1429,0.1429,0.1429,0.1429,0.0,0.0,0.1429,0.1429,0.0,0.1429,0.1429,0.1429,0.1429,0.2857
partitioning,0.3,0.0,0.75,0.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
partitioning -> extension,0.4906,0.3281,0.6979,0.6979,0.5,0.0,0.2656,0.6979,0.0,0.5,0.25,0.5,1.0,0.25,0.25,0.25,0.25,0.375,0.3333,0.75,0.75,0.75,0.75,0.3333,0.3333,0.375,0.25,0.375,0.3333,0.75,0.75,0.75,0.75
partitioning -> iteration,0.1229,0.0417,0.1875,0.1042,0.25,0.1667,0.0417,0.1875,0.1667,0.25,0.1667,0.25,1.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.1667,0.3333,0.3333,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.1667,0.3333,0.3333
partitioning -> permutation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning -> reindexing,0.115,0.1,0.25,0.25,0.0,0.0,0.1,0.25,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.4,0.2,0.4,0.2,0.2,0.2
permutation,0.0906,0.0625,0.2188,0.2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
permutation -> extension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
permutation -> iteration,0.0562,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
permutation -> partitioning,0.0438,0.0625,0.0625,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
permutation -> reindexing,0.0875,0.0,0.2917,0.2917,0.0,0.0,0.0,0.2917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333
reindexing,0.175,0.1964,0.0357,0.0357,0.2857,0.0,0.1964,0.0357,0.1429,0.1429,0.1429,0.2857,1.0,0.2857,0.1429,0.2857,0.1429,0.1429,0.1429,0.0,0.0,0.0,0.1429,0.2857,0.1429,0.2857,0.1429,0.1429,0.1429,0.0,0.0,0.0,0.1429
reindexing -> extension,0.1042,0.0417,0.625,0.2917,0.0,0.3333,0.0,0.2917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.3333,0.3333,0.6667,0.6667,0.6667,0.6667
reindexing -> iteration,0.3125,0.3125,0.125,0.125,0.5,0.0,0.3125,0.125,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0
reindexing -> partitioning,0.2018,0.1964,0.2679,0.2679,0.1429,0.0,0.1964,0.2679,0.1429,0.1429,0.1429,0.1429,1.0,0.0,0.1429,0.2857,0.1429,0.4286,0.1429,0.2857,0.2857,0.2857,0.2857,0.0,0.1429,0.2857,0.1429,0.4286,0.1429,0.2857,0.2857,0.2857,0.2857
reindexing -> permutation,0.0438,0.0625,0.0625,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
