chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.5438,0.5156,0.375,0.375,0.75,0.0,0.1719,0.3125,0.25,0.5,1.0,0.75,1.0,0.25,0.25,0.0,0.125,0.375,0.25,0.375,0.375,0.25,0.25,0.5,0.5,0.5,0.625,0.375,0.25,0.375,0.375,0.5,0.25
extension -> iteration,0.4521,0.4896,0.3542,0.3542,0.5,0.0,0.2812,0.1042,0.0,0.1667,0.3333,0.5,1.0,0.3333,0.1667,0.1667,0.3333,0.5833,0.0,0.0833,0.1667,0.0,0.3333,0.3333,0.3333,0.3333,0.8333,0.5833,0.0,0.25,0.5,0.4167,0.5
extension -> partitioning,0.3688,0.6875,0.3125,0.3125,0.0,0.0,0.375,0.0625,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0
extension -> reindexing,0.3313,0.6094,0.4792,0.2917,0.0,0.25,0.5312,0.2656,0.25,0.0,0.375,0.0,1.0,0.25,0.625,0.625,0.4375,0.625,0.375,0.5,0.125,0.125,0.25,0.25,0.625,0.625,0.6875,0.75,0.625,0.75,0.375,0.2917,0.375
iteration,0.4625,0.3125,0.625,0.375,0.75,0.25,0.3125,0.5938,0.25,0.75,0.25,0.75,1.0,0.25,0.5,0.25,0.25,0.25,0.75,0.5,0.5,0.75,0.5,0.25,0.5,0.25,0.25,0.25,0.75,0.5,0.5,0.75,0.75
iteration -> extension,0.2781,0.2812,0.5521,0.5521,0.0,0.0,0.1354,0.3333,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.25,0.25,0.0833,0.25,0.3333,0.25,0.5,0.25,0.25,0.25,0.25,0.3333,0.3333,0.25,0.5833,0.5,0.75,0.5
iteration -> partitioning,0.335,0.425,0.55,0.55,0.0,0.0,0.3,0.2667,0.0,0.0,0.4,0.0,1.0,0.2,0.4,0.4,0.2,0.2,0.0,0.2667,0.2,0.4,0.4,0.2,0.4,0.6,0.4,0.4,0.4,0.6667,0.4,0.6,0.6667
iteration -> permutation,0.4531,0.5,0.5938,0.5938,0.25,0.0,0.5,0.4688,0.0,0.25,0.0,0.25,1.0,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.75,0.75
iteration -> reindexing,0.4786,0.5893,0.5238,0.5238,0.2857,0.0,0.2321,0.1964,0.0,0.0,0.2857,0.2857,1.0,0.1429,0.2857,0.1429,0.2857,0.2857,0.2857,0.2857,0.1429,0.1429,0.1429,0.2857,0.5714,0.5714,0.7143,0.7143,0.4286,0.5714,0.5714,0.4286,0.619
partitioning,0.45,0.375,0.0,0.0,1.0,0.0,0.375,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
partitioning -> extension,0.362,0.3385,0.6302,0.2552,0.5,0.5,0.25,0.4583,0.25,0.5,0.25,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.0833,0.5833,0.3333,0.5833,0.5833,0.25,0.3333,0.3333,0.3333,0.4583,0.0833,0.7083,0.5833,0.8333,0.7083
partitioning -> iteration,0.3479,0.5,0.4514,0.3264,0.1667,0.1667,0.5,0.3056,0.1667,0.0,0.3333,0.1667,1.0,0.1667,0.6667,0.5,0.5,0.5,0.5,0.4167,0.2778,0.0,0.5556,0.1667,0.6667,0.5,0.5,0.5,0.5,0.5833,0.4444,0.1667,0.7222
partitioning -> permutation,0.4438,0.5,0.8125,0.8125,0.0,0.0,0.5,0.3125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.75,1.0,0.75,1.0
partitioning -> reindexing,0.3633,0.3083,0.6,0.6,0.2,0.0,0.3083,0.6,0.4,0.2,0.4,0.2,1.0,0.0,0.2667,0.4667,0.2667,0.4667,0.0,0.6,0.8,0.8,0.4,0.0,0.2667,0.4667,0.2667,0.4667,0.0,0.6,0.8,0.8,0.4
permutation,0.4,0.4375,0.5,0.25,0.5,0.25,0.2812,0.3125,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.375,0.75,0.5,0.25
permutation -> extension,0.125,0.3125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0
permutation -> iteration,0.0375,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
permutation -> partitioning,0.4375,0.4375,0.375,0.375,0.5,0.0,0.4375,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5
