chain,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_pad_pad_val_0,0.55,0.1562,0.625,0.625,1.0,0.0,0.1562,0.625,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.25,0.25,0.5,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.25,0.25,0.5,0.75,0.75,0.5,0.5
extension_pad_pad_val_0 -> iteration_tile_axis_1,0.4562,0.625,0.1875,0.1875,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.25,0.0
extension_pad_pad_val_0 -> partitioning_crop_quadrant_1,0.4,0.625,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
extension_pad_pad_val_0 -> partitioning_crop_quadrant_3,0.3375,0.75,0.125,0.125,0.0,0.0,0.75,0.125,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
extension_pad_pad_val_0 -> reindexing_spatial_shift_axis_0_shift_-1,0.6125,0.875,0.875,0.875,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
extension_pad_pad_val_0 -> reindexing_spatial_shift_axis_0_shift_1,0.1875,0.125,0.4583,0.4583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3333,0.0
extension_pad_pad_val_0 -> reindexing_spatial_shift_axis_1_shift_-1,0.15,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
extension_pad_pad_val_1,0.5375,0.875,0.125,0.125,0.5,0.0,0.1875,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0
extension_pad_pad_val_1 -> iteration_tile_axis_0,0.6625,0.625,0.375,0.375,1.0,0.0,0.625,0.375,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
extension_pad_pad_val_1 -> iteration_tile_axis_1,0.0625,0.0625,0.125,0.125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
