chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.7844,1.0,0.6875,0.5312,0.75,0.25,1.0,0.6875,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,0.75,0.75
extension -> iteration,0.7225,0.7,0.875,0.875,0.6,0.0,0.7,0.875,0.6,0.6,0.6,0.6,1.0,0.8,0.6,0.6,0.8,0.8,0.4,1.0,0.8,1.0,1.0,0.8,0.6,0.6,0.8,0.8,0.4,1.0,0.8,1.0,1.0
extension -> partitioning,0.4875,0.25,0.625,0.625,0.6667,0.0,0.25,0.625,0.0,0.6667,0.0,0.6667,1.0,0.3333,0.0,0.3333,0.3333,0.3333,0.6667,0.6667,0.3333,0.6667,1.0,0.3333,0.0,0.3333,0.3333,0.3333,0.6667,0.6667,0.3333,0.6667,1.0
extension -> reindexing,0.5359,0.625,0.7031,0.4531,0.5,0.25,0.625,0.7031,0.875,0.5,0.875,0.5,1.0,0.375,0.375,0.625,0.875,0.875,0.625,0.625,0.75,0.75,0.75,0.375,0.375,0.625,0.875,0.875,0.625,0.625,0.75,0.75,0.75
iteration,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.7475,0.95,0.825,0.625,0.6,0.2,0.95,0.825,1.0,0.6,1.0,0.6,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.6,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.6,1.0,0.8,1.0
iteration -> partitioning,0.7188,1.0,0.5625,0.5625,0.5,0.0,1.0,0.5625,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
iteration -> permutation,0.6475,0.775,0.925,0.725,0.4,0.2,0.775,0.925,0.8,0.4,0.8,0.4,1.0,0.4,0.8,0.6,1.0,1.0,0.8,1.0,1.0,0.8,1.0,0.4,0.8,0.6,1.0,1.0,0.8,1.0,1.0,0.8,1.0
iteration -> reindexing,0.6375,0.75,0.625,0.5,0.625,0.125,0.75,0.625,0.75,0.625,0.75,0.625,1.0,0.75,0.75,0.875,0.75,0.5,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.875,0.75,0.5,0.625,0.625,0.625,0.625,0.625
partitioning,0.2625,0.375,0.375,0.375,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
partitioning -> extension,0.3781,0.4062,0.4688,0.4688,0.25,0.0,0.4062,0.4688,0.25,0.25,0.25,0.25,1.0,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.25
partitioning -> iteration,0.5062,0.375,0.6875,0.6875,0.5,0.0,0.375,0.6875,0.0,0.5,0.0,0.5,1.0,0.1667,0.5,0.3333,0.3333,0.5,0.5,0.6667,0.8333,0.6667,0.6667,0.1667,0.5,0.3333,0.3333,0.5,0.5,0.6667,0.8333,0.6667,0.6667
partitioning -> permutation,0.4,0.625,0.5,0.5,0.0,0.0,0.625,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
partitioning -> reindexing,0.64,0.7,0.6,0.4,0.8,0.2,0.7,0.6,0.6,0.8,0.6,0.8,1.0,0.6,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6
permutation,0.8719,0.9375,0.7812,0.6562,1.0,0.25,0.9375,0.7812,0.75,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.5,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.5,0.75,1.0,1.0
permutation -> extension,0.4,0.1562,0.4688,0.375,0.75,0.25,0.1562,0.4688,0.75,0.75,0.75,0.75,1.0,0.0,0.0,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.75,0.0,0.0,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.75
permutation -> iteration,0.775,0.8125,1.0,1.0,0.5,0.0,0.8125,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
permutation -> partitioning,0.2875,0.0625,0.375,0.375,0.5,0.0,0.0625,0.375,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5
permutation -> reindexing,0.2458,0.3333,0.375,0.375,0.0,0.0,0.3333,0.375,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.6667,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.6667,0.3333,0.3333,0.3333
reindexing,0.7804,0.7321,0.9107,0.625,1.0,0.2857,0.7321,0.9107,0.7143,1.0,0.7143,1.0,1.0,0.2857,0.8571,0.5714,1.0,0.7143,0.8571,0.8571,0.8571,1.0,1.0,0.2857,0.8571,0.5714,1.0,0.7143,0.8571,0.8571,0.8571,1.0,1.0
