chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.6188,0.5625,0.625,0.5625,0.75,0.25,0.5625,0.625,0.5,0.75,0.5,0.75,1.0,0.75,0.25,0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.25,0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.75
extension -> iteration,0.06,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extension -> partitioning,0.1208,0.0833,0.2917,0.2917,0.0,0.0,0.0833,0.2917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333
extension -> reindexing,0.4266,0.375,0.5469,0.2969,0.625,0.25,0.375,0.5469,0.5,0.625,0.5,0.625,1.0,0.25,0.25,0.375,0.5,0.5,0.5,0.5,0.625,0.5,0.625,0.25,0.25,0.375,0.5,0.5,0.5,0.5,0.625,0.5,0.625
iteration,0.525,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
iteration -> extension,0.28,0.4,0.4,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.2,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
iteration -> partitioning,0.6312,0.5,0.9375,0.9375,0.5,0.0,0.5,0.9375,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5
iteration -> permutation,0.3025,0.325,0.375,0.375,0.2,0.0,0.325,0.375,0.4,0.2,0.4,0.2,1.0,0.2,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4
iteration -> reindexing,0.1625,0.125,0.25,0.25,0.125,0.0,0.125,0.25,0.25,0.125,0.25,0.125,1.0,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25
partitioning,0.4625,0.125,0.375,0.375,1.0,0.0,0.125,0.375,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
