chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.6656,0.6562,0.6875,0.5938,0.75,0.25,0.6562,0.6875,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.5,0.75,1.0,0.25,0.5,0.75,1.0,0.75,0.75,0.5,0.5,0.75,1.0,0.25,0.5,0.75,1.0,0.75
extension -> iteration,0.8075,0.875,0.725,0.725,0.8,0.0,0.875,0.725,0.6,0.8,0.6,0.8,1.0,1.0,0.8,1.0,0.8,0.8,0.4,0.6,0.8,0.8,1.0,1.0,0.8,1.0,0.8,0.8,0.4,0.6,0.8,0.8,1.0
extension -> partitioning,0.8542,0.9167,0.9583,0.9583,0.6667,0.0,0.9167,0.9583,0.0,0.6667,0.0,0.6667,1.0,0.3333,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0
extension -> reindexing,0.7219,0.75,0.9062,0.6562,0.75,0.25,0.75,0.9062,0.625,0.75,0.625,0.75,1.0,0.375,0.75,0.875,0.75,0.875,0.75,0.875,0.875,1.0,1.0,0.375,0.75,0.875,0.75,0.875,0.75,0.875,0.875,1.0,1.0
iteration,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.8725,1.0,0.975,0.775,0.8,0.2,1.0,0.975,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
iteration -> partitioning,0.8312,1.0,0.9375,0.9375,0.5,0.0,1.0,0.9375,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
iteration -> permutation,0.5725,0.55,0.975,0.775,0.4,0.2,0.55,0.975,0.4,0.4,0.4,0.4,1.0,0.2,0.6,0.6,0.4,1.0,0.8,1.0,1.0,1.0,1.0,0.2,0.6,0.6,0.4,1.0,0.8,1.0,1.0,1.0,1.0
iteration -> reindexing,0.7453,0.8438,0.9219,0.7344,0.625,0.25,0.8438,0.9219,1.0,0.625,1.0,0.625,1.0,0.625,0.75,1.0,0.875,0.875,0.875,0.875,0.875,1.0,1.0,0.625,0.75,1.0,0.875,0.875,0.875,0.875,0.875,1.0,1.0
partitioning,0.275,0.5,0.25,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
partitioning -> extension,0.3875,0.4062,0.5,0.5,0.25,0.0,0.4062,0.5,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.75,0.75,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.75,0.75
partitioning -> iteration,0.7833,0.8333,0.8333,0.8333,0.6667,0.0,0.8333,0.8333,0.1667,0.6667,0.1667,0.6667,1.0,0.6667,0.8333,0.8333,0.8333,1.0,0.8333,0.8333,0.8333,0.8333,0.8333,0.6667,0.8333,0.8333,0.8333,1.0,0.8333,0.8333,0.8333,0.8333,0.8333
partitioning -> permutation,0.5625,0.75,0.875,0.875,0.0,0.0,0.75,0.875,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5
partitioning -> reindexing,0.45,0.675,0.6,0.4,0.2,0.2,0.675,0.6,0.4,0.2,0.4,0.2,1.0,0.0,0.6,0.8,0.8,1.0,0.6,0.8,0.6,0.4,0.6,0.0,0.6,0.8,0.8,1.0,0.6,0.8,0.6,0.4,0.6
permutation,0.6844,0.75,0.5625,0.5312,0.75,0.25,0.75,0.5625,0.5,0.75,0.5,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75
permutation -> extension,0.525,0.5625,0.8125,0.75,0.25,0.25,0.5625,0.8125,0.25,0.25,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.5,0.75,0.75,0.75,1.0,0.75,0.0,0.5,0.5,1.0,0.5,0.75,0.75,0.75,1.0,0.75
permutation -> iteration,0.775,0.8125,1.0,1.0,0.5,0.0,0.8125,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
permutation -> partitioning,0.6313,0.5,0.9375,0.9375,0.5,0.0,0.5,0.9375,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
permutation -> reindexing,0.3625,0.625,0.375,0.375,0.0,0.0,0.625,0.375,0.3333,0.0,0.3333,0.0,1.0,0.3333,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.3333,0.3333,0.6667,0.3333,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.3333,0.3333,0.6667
reindexing,0.7964,0.8929,0.8929,0.6071,0.8571,0.2857,0.8929,0.8929,0.7143,0.8571,0.7143,0.8571,1.0,0.5714,0.8571,1.0,1.0,0.8571,0.8571,0.8571,0.8571,1.0,0.8571,0.5714,0.8571,1.0,1.0,0.8571,0.8571,0.8571,0.8571,1.0,0.8571
reindexing -> extension,0.6812,0.625,0.9375,0.9375,0.5,0.0,0.625,0.9375,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
reindexing -> iteration,0.4667,0.4167,0.6667,0.6667,0.3333,0.0,0.4167,0.6667,1.0,0.3333,1.0,0.3333,1.0,0.0,0.3333,0.3333,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.0,0.0,0.3333,0.3333,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.0
reindexing -> partitioning,0.5312,0.5625,0.8542,0.5208,0.5,0.3333,0.5625,0.8542,0.0,0.5,0.0,0.5,1.0,0.3333,0.5,0.5,0.6667,0.8333,0.5,0.8333,0.8333,1.0,1.0,0.3333,0.5,0.5,0.6667,0.8333,0.5,0.8333,0.8333,1.0,1.0
reindexing -> permutation,0.665,0.8,0.75,0.55,0.6,0.2,0.8,0.75,0.2,0.6,0.2,0.6,1.0,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.8,1.0,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.8,1.0
