chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.725,0.875,0.6562,0.5,0.75,0.25,0.875,0.6562,1.0,0.75,1.0,0.75,1.0,1.0,0.75,1.0,0.75,1.0,0.5,0.5,0.75,0.75,0.75,1.0,0.75,1.0,0.75,1.0,0.5,0.5,0.75,0.75,0.75
extension -> iteration,0.6475,0.55,0.825,0.825,0.6,0.0,0.55,0.825,0.2,0.6,0.2,0.6,1.0,0.8,0.6,0.4,0.6,0.4,0.6,1.0,0.8,0.8,0.8,0.8,0.6,0.4,0.6,0.4,0.6,1.0,0.8,0.8,0.8
extension -> partitioning,0.8917,0.9167,0.75,0.75,1.0,0.0,0.9167,0.75,0.0,1.0,0.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,0.6667,0.6667,0.6667,1.0,0.6667,0.3333,1.0,1.0,1.0,1.0,0.6667,0.6667,0.6667,1.0,0.6667
extension -> reindexing,0.5438,0.6094,0.75,0.5,0.5,0.25,0.6094,0.75,0.875,0.5,0.875,0.5,1.0,0.875,0.375,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.375,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75
iteration,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.8,0.95,0.8,0.6,0.8,0.2,0.95,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.8,1.0,1.0,0.8,0.8,0.8,0.8,0.8
iteration -> partitioning,0.85,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> permutation,0.7825,1.0,0.875,0.675,0.6,0.2,1.0,0.875,1.0,0.6,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.8,1.0
iteration -> reindexing,0.6,0.5156,0.8125,0.6875,0.625,0.125,0.5156,0.8125,0.625,0.625,0.625,0.625,1.0,0.75,0.375,0.5,0.5,0.625,0.75,0.875,0.875,0.75,0.75,0.75,0.375,0.5,0.5,0.625,0.75,0.875,0.875,0.75,0.75
partitioning,0.55,0.625,0.0,0.0,1.0,0.0,0.625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
partitioning -> extension,0.4219,0.375,0.6562,0.6562,0.25,0.0,0.375,0.6562,0.25,0.25,0.25,0.25,1.0,0.5,0.25,0.5,0.25,0.5,0.5,0.75,0.5,0.75,0.75,0.5,0.25,0.5,0.25,0.5,0.5,0.75,0.5,0.75,0.75
partitioning -> iteration,0.5667,0.5417,0.6667,0.6667,0.5,0.0,0.5417,0.6667,0.0,0.5,0.0,0.5,1.0,0.6667,0.6667,0.5,0.5,0.3333,0.6667,0.5,0.6667,0.8333,0.6667,0.6667,0.6667,0.5,0.5,0.3333,0.6667,0.5,0.6667,0.8333,0.6667
partitioning -> permutation,0.275,0.3125,0.5,0.5,0.0,0.0,0.3125,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5
partitioning -> reindexing,0.6625,0.7,0.675,0.475,0.8,0.2,0.7,0.675,0.4,0.8,0.4,0.8,1.0,0.8,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.6,0.8,0.8,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.6,0.8
