chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.6594,0.7812,0.5625,0.4062,0.75,0.25,0.7812,0.5625,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.75,0.75
extension -> iteration,0.6525,0.6,0.575,0.575,0.8,0.2,0.6,0.575,0.4,0.8,0.4,0.8,1.0,0.6,0.6,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.6
extension -> partitioning,0.4583,0.5833,0.4167,0.4167,0.3333,0.0,0.5833,0.4167,0.0,0.3333,0.0,0.3333,1.0,0.3333,0.3333,0.3333,1.0,1.0,0.6667,0.3333,0.3333,0.3333,0.6667,0.3333,0.3333,0.3333,1.0,1.0,0.6667,0.3333,0.3333,0.3333,0.6667
extension -> reindexing,0.4984,0.625,0.4844,0.3281,0.5,0.25,0.625,0.4844,0.75,0.5,0.75,0.5,1.0,0.75,0.75,0.5,0.625,0.5,0.25,0.5,0.5,0.5,0.625,0.75,0.75,0.5,0.625,0.5,0.25,0.5,0.5,0.5,0.625
iteration,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.8725,1.0,0.975,0.775,0.8,0.2,1.0,0.975,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
iteration -> partitioning,0.8312,1.0,0.9375,0.9375,0.5,0.0,1.0,0.9375,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
iteration -> permutation,0.7425,0.975,0.775,0.575,0.6,0.2,0.975,0.775,1.0,0.6,1.0,0.6,1.0,0.8,1.0,1.0,1.0,1.0,0.6,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.6,0.8,0.8,0.8,0.8
iteration -> reindexing,0.3469,0.5156,0.4688,0.3438,0.125,0.125,0.5156,0.4688,0.375,0.125,0.375,0.125,1.0,0.625,0.5,0.5,0.5,0.5,0.5,0.375,0.5,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.5,0.375,0.5,0.5,0.5
partitioning,0.15,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
partitioning -> extension,0.35,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.25,0.0,0.25,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.5,0.25
partitioning -> iteration,0.5917,0.5417,0.75,0.75,0.5,0.0,0.5417,0.75,0.0,0.5,0.0,0.5,1.0,0.3333,0.3333,0.6667,0.6667,0.6667,0.6667,0.8333,0.6667,0.8333,0.6667,0.3333,0.3333,0.6667,0.6667,0.6667,0.6667,0.8333,0.6667,0.8333,0.6667
partitioning -> permutation,0.35,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
partitioning -> reindexing,0.51,0.45,0.7,0.5,0.6,0.2,0.45,0.7,0.4,0.6,0.4,0.6,1.0,0.2,0.8,0.4,0.2,0.6,0.6,0.8,0.8,0.6,0.6,0.2,0.8,0.4,0.2,0.6,0.6,0.8,0.8,0.6,0.6
permutation,0.7625,0.875,0.625,0.625,0.75,0.0,0.875,0.625,0.5,0.75,0.5,0.75,1.0,1.0,0.75,0.75,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.75,0.75,1.0,1.0,0.5,0.5,0.5,1.0,0.5
permutation -> extension,0.4844,0.5312,0.4062,0.4062,0.5,0.25,0.5312,0.4062,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.75,0.75,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.25,0.5,0.25,0.5
permutation -> iteration,0.6312,0.5,0.9375,0.9375,0.5,0.0,0.5,0.9375,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
permutation -> partitioning,0.4625,0.5,0.375,0.375,0.5,0.5,0.5,0.375,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5
permutation -> reindexing,0.1833,0.4583,0.0,0.0,0.0,0.0,0.4583,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0
reindexing,0.6554,0.875,0.6964,0.4464,0.5714,0.4286,0.875,0.6964,0.8571,0.5714,0.8571,0.5714,1.0,0.7143,0.8571,0.8571,1.0,0.8571,0.5714,0.7143,0.5714,0.8571,0.7143,0.7143,0.8571,0.8571,1.0,0.8571,0.5714,0.7143,0.5714,0.8571,0.7143
reindexing -> extension,0.325,0.625,0.25,0.25,0.0,0.0,0.625,0.25,0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0
reindexing -> iteration,0.3,0.25,0.3333,0.3333,0.3333,0.0,0.25,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.6667,0.6667,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.6667,0.6667,0.3333,0.3333,0.3333,0.3333,0.3333
reindexing -> partitioning,0.3625,0.1875,0.7292,0.4583,0.5,0.3333,0.1875,0.7292,0.1667,0.5,0.1667,0.5,1.0,0.1667,0.1667,0.1667,0.1667,0.3333,0.8333,0.8333,0.6667,0.6667,0.6667,0.1667,0.1667,0.1667,0.1667,0.3333,0.8333,0.8333,0.6667,0.6667,0.6667
reindexing -> permutation,0.62,0.65,0.6,0.4,0.8,0.2,0.65,0.6,0.4,0.8,0.4,0.8,1.0,0.8,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.4,0.6,0.8,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.4,0.6
