chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.4188,0.7188,0.5,0.4375,0.0,0.5,0.7188,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.5,0.75,0.5
extension -> iteration,0.325,0.325,0.25,0.25,0.4,0.2,0.325,0.25,0.2,0.4,0.2,0.4,1.0,0.2,0.2,0.4,0.4,0.4,0.0,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.0,0.2,0.2,0.4,0.4
extension -> partitioning,0.2,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.3333,0.0,0.3333,1.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.3333
extension -> reindexing,0.3172,0.3125,0.5156,0.2656,0.375,0.25,0.3125,0.5156,0.0,0.375,0.0,0.375,1.0,0.125,0.375,0.25,0.375,0.375,0.5,0.5,0.5,0.5,0.625,0.125,0.375,0.25,0.375,0.375,0.5,0.5,0.5,0.5,0.625
iteration,0.4469,0.7188,0.6562,0.0312,0.5,0.75,0.7188,0.6562,0.5,0.5,0.5,0.5,1.0,0.75,0.5,0.75,0.75,1.0,0.75,0.25,0.75,0.75,1.0,0.75,0.5,0.75,0.75,1.0,0.75,0.25,0.75,0.75,1.0
iteration -> extension,0.38,0.8,0.4,0.2,0.0,0.4,0.8,0.4,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4
iteration -> partitioning,0.3062,0.625,0.1875,0.1875,0.0,0.0,0.625,0.1875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
iteration -> permutation,0.1375,0.175,0.425,0.225,0.0,0.2,0.175,0.425,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.6,0.0,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.6
iteration -> reindexing,0.2141,0.3125,0.2969,0.1719,0.125,0.25,0.3125,0.2969,0.125,0.125,0.125,0.125,1.0,0.25,0.25,0.25,0.5,0.25,0.375,0.25,0.375,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.375,0.25,0.375,0.25,0.25
partitioning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning -> extension,0.2094,0.2188,0.1562,0.1562,0.25,0.0,0.2188,0.1562,0.0,0.25,0.0,0.25,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0
partitioning -> iteration,0.2646,0.1458,0.3542,0.3542,0.3333,0.0,0.1458,0.3542,0.1667,0.3333,0.1667,0.3333,1.0,0.0,0.0,0.1667,0.3333,0.1667,0.1667,0.5,0.3333,0.3333,0.3333,0.0,0.0,0.1667,0.3333,0.1667,0.1667,0.5,0.3333,0.3333,0.3333
partitioning -> permutation,0.025,0.0625,0.0,0.0,0.0,0.5,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
partitioning -> reindexing,0.3,0.6,0.375,0.0,0.2,0.4,0.6,0.375,0.4,0.2,0.4,0.2,1.0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.2,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.2
