chain,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_append_boundary_side_first,0.3125,0.5,0.375,0.375,0.0,0.5,0.5,0.375,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
extension_append_boundary_side_first -> iteration_duplicate,0.325,0.0,0.4167,0.4167,0.6667,0.0,0.0,0.4167,0.0,0.6667,0.0,0.6667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.6667,0.6667
extension_append_boundary_side_first -> partitioning_by_offset_offset_0,0.15,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5
extension_append_boundary_side_first -> partitioning_by_offset_offset_1,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extension_append_boundary_side_first -> reindexing_rotate_k_-1,0.2667,0.4167,0.6667,0.3333,0.0,0.3333,0.4167,0.6667,0.0,0.0,0.0,0.0,1.0,0.0,0.3333,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.0,0.3333,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667
extension_append_boundary_side_first -> reindexing_rotate_k_1,0.1375,0.25,0.125,0.125,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
extension_append_boundary_side_last,0.525,0.9375,0.625,0.5,0.0,0.5,0.9375,0.625,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
extension_append_boundary_side_last -> iteration_duplicate,0.325,0.8125,0.0,0.0,0.0,0.5,0.8125,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
extension_append_boundary_side_last -> reindexing_rotate_k_-1,0.475,0.4375,0.5,0.5,0.5,0.0,0.4375,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
extension_append_boundary_side_last -> reindexing_rotate_k_1,0.325,0.0625,0.5,0.0,1.0,0.5,0.0625,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5
iteration_duplicate,0.4469,0.7188,0.6562,0.0312,0.5,0.75,0.7188,0.6562,0.5,0.5,0.5,0.5,1.0,0.75,0.5,0.75,0.75,1.0,0.75,0.25,0.75,0.75,1.0,0.75,0.5,0.75,0.75,1.0,0.75,0.25,0.75,0.75,1.0
iteration_duplicate -> extension_append_boundary_side_first,0.35,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
iteration_duplicate -> extension_append_boundary_side_last,0.4,1.0,0.3333,0.0,0.0,0.6667,1.0,0.3333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,0.3333,0.3333
iteration_duplicate -> partitioning_by_offset_offset_0,0.2625,0.375,0.375,0.375,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
iteration_duplicate -> partitioning_by_offset_offset_1,0.35,0.875,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
iteration_duplicate -> permutation_reverse,0.1375,0.175,0.425,0.225,0.0,0.2,0.175,0.425,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.6,0.0,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.6
iteration_duplicate -> reindexing_rotate_k_-1,0.1,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.3333
iteration_duplicate -> reindexing_rotate_k_1,0.2825,0.5,0.275,0.075,0.2,0.4,0.5,0.275,0.2,0.2,0.2,0.2,1.0,0.4,0.4,0.4,0.8,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.4,0.4,0.8,0.4,0.4,0.2,0.4,0.2,0.2
partitioning_by_offset_offset_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_0 -> extension_append_boundary_side_last,0.2792,0.2917,0.2083,0.2083,0.3333,0.0,0.2917,0.2083,0.0,0.3333,0.0,0.3333,1.0,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0
partitioning_by_offset_offset_0 -> iteration_duplicate,0.275,0.2188,0.375,0.375,0.25,0.0,0.2188,0.375,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.25,0.0,0.0,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.25
partitioning_by_offset_offset_0 -> permutation_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> extension_append_boundary_side_first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> iteration_duplicate,0.2438,0.0,0.3125,0.3125,0.5,0.0,0.0,0.3125,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5
partitioning_by_offset_offset_1 -> permutation_reverse,0.05,0.125,0.0,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> reindexing_rotate_k_-1,0.1333,0.3333,0.3333,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
partitioning_by_offset_offset_1 -> reindexing_rotate_k_1,0.55,1.0,0.4375,0.0,0.5,0.5,1.0,0.4375,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0
permutation_reverse,0.0969,0.2188,0.2812,0.0312,0.0,0.25,0.2188,0.2812,0.25,0.0,0.25,0.0,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5
permutation_reverse -> extension_append_boundary_side_last,0.0875,0.2188,0.0,0.0,0.0,0.0,0.2188,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
permutation_reverse -> iteration_duplicate,0.2812,0.0,0.4375,0.4375,0.5,0.0,0.0,0.4375,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
permutation_reverse -> partitioning_by_offset_offset_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
permutation_reverse -> partitioning_by_offset_offset_1,0.1125,0.0,0.375,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
permutation_reverse -> reindexing_rotate_k_-1,0.25,0.625,0.0,0.0,0.0,0.3333,0.625,0.0,0.3333,0.0,0.3333,0.0,1.0,0.3333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1,0.2125,0.0,0.0417,0.0417,0.6667,0.0,0.0,0.0417,0.0,0.6667,0.0,0.6667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
reindexing_rotate_k_-1 -> iteration_duplicate,0.325,0.8125,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1 -> partitioning_by_offset_offset_0,0.625,0.25,0.75,0.75,1.0,0.0,0.25,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
reindexing_rotate_k_-1 -> partitioning_by_offset_offset_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1 -> permutation_reverse,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_1,0.0469,0.0,0.25,0.1562,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25
reindexing_rotate_k_1 -> extension_append_boundary_side_last,0.3,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5
reindexing_rotate_k_1 -> iteration_duplicate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_1 -> partitioning_by_offset_offset_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_1 -> partitioning_by_offset_offset_1,0.125,0.3125,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_1 -> permutation_reverse,0.6906,0.8125,0.7188,0.7188,0.5,0.0,0.8125,0.7188,0.0,0.5,0.0,0.5,1.0,0.5,0.75,0.75,1.0,1.0,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1.0,1.0,0.5,0.75,0.75,0.75,0.75
