chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.7062,0.7812,0.7188,0.5625,0.75,0.25,0.7812,0.7188,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.5,0.5,1.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.5,1.0,0.75,0.75
extension -> iteration,0.7125,0.75,0.575,0.575,0.8,0.0,0.75,0.575,0.8,0.8,0.8,0.8,1.0,0.6,0.8,0.6,0.8,1.0,0.6,0.6,0.2,0.8,0.8,0.6,0.8,0.6,0.8,1.0,0.6,0.6,0.2,0.8,0.8
extension -> partitioning,0.575,0.625,0.75,0.75,0.3333,0.0,0.625,0.75,0.0,0.3333,0.0,0.3333,1.0,0.3333,0.3333,1.0,0.6667,0.6667,0.6667,0.6667,0.6667,1.0,0.6667,0.3333,0.3333,1.0,0.6667,0.6667,0.6667,0.6667,0.6667,1.0,0.6667
extension -> reindexing,0.6438,0.8125,0.7344,0.5625,0.5,0.25,0.8125,0.7344,1.0,0.5,1.0,0.5,1.0,0.625,0.875,0.875,0.75,0.875,0.75,0.5,0.875,0.875,0.625,0.625,0.875,0.875,0.75,0.875,0.75,0.5,0.875,0.875,0.625
iteration,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.7825,1.0,0.875,0.675,0.6,0.2,1.0,0.875,1.0,0.6,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.8
iteration -> partitioning,0.8125,1.0,0.875,0.875,0.5,0.0,1.0,0.875,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
iteration -> permutation,0.63,0.675,0.8,0.6,0.6,0.2,0.675,0.8,1.0,0.6,1.0,0.6,1.0,0.0,0.8,0.6,0.8,1.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.6,0.8,1.0,0.8,0.8,0.8,0.8,0.8
iteration -> reindexing,0.7688,0.8906,0.8281,0.625,0.75,0.25,0.8906,0.8281,1.0,0.75,1.0,0.75,1.0,0.5,0.875,1.0,1.0,0.875,0.625,1.0,0.75,0.875,0.75,0.5,0.875,1.0,1.0,0.875,0.625,1.0,0.75,0.875,0.75
partitioning,0.3625,0.625,0.375,0.375,0.0,0.0,0.625,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
partitioning -> extension,0.3812,0.4375,0.4375,0.4375,0.25,0.0,0.4375,0.4375,0.0,0.25,0.0,0.25,1.0,0.25,0.5,0.25,0.5,0.75,0.25,0.25,0.25,0.75,0.75,0.25,0.5,0.25,0.5,0.75,0.25,0.25,0.25,0.75,0.75
partitioning -> iteration,0.6771,0.7708,0.7292,0.7292,0.5,0.0,0.7708,0.7292,0.1667,0.5,0.1667,0.5,1.0,0.5,0.5,0.8333,1.0,1.0,0.8333,0.6667,0.8333,0.5,1.0,0.5,0.5,0.8333,1.0,1.0,0.8333,0.6667,0.8333,0.5,1.0
partitioning -> permutation,0.475,0.625,0.75,0.75,0.0,0.0,0.625,0.75,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0
partitioning -> reindexing,0.4425,0.675,0.725,0.375,0.2,0.6,0.675,0.725,0.0,0.2,0.0,0.2,1.0,0.4,0.4,0.8,0.8,1.0,0.8,0.6,0.8,0.8,0.6,0.4,0.4,0.8,0.8,1.0,0.8,0.6,0.8,0.8,0.6
permutation,0.7938,0.9062,0.8438,0.4375,1.0,0.5,0.9062,0.8438,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.5,1.0,0.75,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.5
permutation -> extension,0.4438,0.4062,0.7812,0.4375,0.5,0.5,0.4062,0.7812,0.75,0.5,0.75,0.5,1.0,0.0,0.25,0.5,0.5,0.75,0.25,1.0,1.0,0.75,0.5,0.0,0.25,0.5,0.5,0.75,0.25,1.0,1.0,0.75,0.5
permutation -> iteration,0.6562,0.5625,0.9375,0.9375,0.5,0.0,0.5625,0.9375,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0
permutation -> partitioning,0.4188,0.4375,0.4375,0.3125,0.5,0.5,0.4375,0.4375,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5
permutation -> reindexing,0.4125,0.625,0.5417,0.5417,0.0,0.0,0.625,0.5417,0.3333,0.0,0.3333,0.0,1.0,0.6667,0.3333,1.0,0.3333,1.0,0.3333,1.0,0.3333,0.3333,0.6667,0.6667,0.3333,1.0,0.3333,1.0,0.3333,1.0,0.3333,0.3333,0.6667
reindexing,0.8446,0.9464,0.8393,0.5536,1.0,0.2857,0.9464,0.8393,1.0,1.0,1.0,1.0,1.0,0.8571,0.8571,1.0,1.0,1.0,0.8571,0.7143,0.8571,0.8571,1.0,0.8571,0.8571,1.0,1.0,1.0,0.8571,0.7143,0.8571,0.8571,1.0
reindexing -> extension,0.6062,0.625,0.6875,0.6875,0.5,0.0,0.625,0.6875,0.0,0.5,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
reindexing -> iteration,0.6,0.625,0.5,0.5,0.6667,0.0,0.625,0.5,1.0,0.6667,1.0,0.6667,1.0,0.0,0.3333,1.0,0.6667,1.0,0.6667,0.6667,0.3333,0.3333,0.6667,0.0,0.3333,1.0,0.6667,1.0,0.6667,0.6667,0.3333,0.3333,0.6667
reindexing -> partitioning,0.3729,0.4167,0.4792,0.3542,0.3333,0.3333,0.4167,0.4792,0.0,0.3333,0.0,0.3333,1.0,0.0,0.3333,0.3333,0.6667,0.6667,0.5,0.5,0.3333,0.5,0.6667,0.0,0.3333,0.3333,0.6667,0.6667,0.5,0.5,0.3333,0.5,0.6667
reindexing -> permutation,0.715,0.775,0.75,0.55,0.8,0.2,0.775,0.75,0.4,0.8,0.4,0.8,1.0,0.6,0.8,0.8,0.8,0.8,0.6,0.8,0.6,0.8,1.0,0.6,0.8,0.8,0.8,0.8,0.6,0.8,0.6,0.8,1.0
