chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.7906,0.9688,0.6875,0.5938,0.75,0.25,0.9688,0.6875,1.0,0.75,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.5,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.5,0.75,0.75,0.75
extension -> iteration,0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.4,0.6,0.4,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
extension -> partitioning,0.7667,0.6667,0.6667,0.6667,1.0,0.0,0.6667,0.6667,0.0,1.0,0.0,1.0,1.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667
extension -> reindexing,0.65,0.5938,0.875,0.75,0.625,0.125,0.5938,0.875,0.5,0.625,0.5,0.625,1.0,0.375,0.625,0.625,0.625,0.625,0.875,0.875,0.875,0.875,0.875,0.375,0.625,0.625,0.625,0.625,0.875,0.875,0.875,0.875,0.875
iteration,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.88,1.0,1.0,0.8,0.8,0.2,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> partitioning,0.85,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> permutation,0.2325,0.0,0.575,0.575,0.2,0.0,0.0,0.575,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,0.6,0.6
iteration -> reindexing,0.3484,0.25,0.5625,0.4531,0.375,0.125,0.25,0.5625,0.25,0.375,0.25,0.375,1.0,0.25,0.25,0.25,0.25,0.25,0.375,0.5,0.625,0.625,0.625,0.25,0.25,0.25,0.25,0.25,0.375,0.5,0.625,0.625,0.625
partitioning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning -> extension,0.3531,0.25,0.5938,0.5938,0.25,0.0,0.25,0.5938,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75
partitioning -> iteration,0.6833,0.7083,0.8333,0.8333,0.5,0.0,0.7083,0.8333,0.1667,0.5,0.1667,0.5,1.0,0.5,0.5,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.5,0.5,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333
partitioning -> permutation,0.3313,0.5,0.4375,0.4375,0.0,0.0,0.5,0.4375,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5
partitioning -> reindexing,0.44,0.275,0.8438,0.625,0.6,0.25,0.275,0.8438,0.25,0.75,0.25,0.75,0.8,0.2,0.2,0.2,0.4,0.4,0.75,1.0,1.0,0.75,0.5,0.2,0.2,0.2,0.4,0.4,0.75,1.0,1.0,0.75,0.5
permutation,0.85,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
permutation -> extension,0.4719,0.4062,0.5312,0.5312,0.5,0.0,0.4062,0.5312,0.75,0.5,0.75,0.5,1.0,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5
permutation -> iteration,0.45,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
permutation -> partitioning,0.5562,0.5,0.6875,0.6875,0.5,0.0,0.5,0.6875,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0
permutation -> reindexing,0.25,0.375,0.3333,0.3333,0.0,0.0,0.375,0.3333,0.0,0.0,0.0,0.0,1.0,0.6667,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.6667,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
reindexing,0.7714,0.75,0.7679,0.5714,1.0,0.2857,0.75,0.7679,0.8571,1.0,0.8571,1.0,1.0,0.5714,0.7143,0.7143,0.8571,0.8571,0.7143,0.7143,0.7143,0.8571,0.8571,0.5714,0.7143,0.7143,0.8571,0.8571,0.7143,0.7143,0.7143,0.8571,0.8571
reindexing -> extension,0.575,0.3125,1.0,1.0,0.5,0.0,0.3125,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0
reindexing -> iteration,0.2,0.0,1.0,0.5,0.3333,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
reindexing -> partitioning,0.5792,0.6042,0.7917,0.4583,0.6667,0.3333,0.6042,0.7917,0.1667,0.6667,0.1667,0.6667,1.0,0.5,0.5,0.6667,0.6667,0.6667,0.5,0.8333,0.8333,0.8333,0.8333,0.5,0.5,0.6667,0.6667,0.6667,0.5,0.8333,0.8333,0.8333,0.8333
reindexing -> permutation,0.4125,0.6,0.9583,0.625,0.2,0.3333,0.6,0.9583,0.0,0.3333,0.0,0.3333,0.6,0.6,0.6,0.6,0.6,0.6,0.6667,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6667,1.0,1.0,1.0,1.0
