chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.3125,0.4062,0.4688,0.25,0.25,0.25,0.4062,0.4688,0.5,0.25,0.5,0.25,1.0,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5
extension -> iteration,0.6825,0.45,0.675,0.675,1.0,0.0,0.45,0.675,0.8,1.0,0.8,1.0,1.0,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.6,1.0,1.0,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.6,1.0,1.0
extension -> partitioning,0.4333,0.5833,0.6667,0.6667,0.0,0.0,0.5833,0.6667,0.3333,0.0,0.3333,0.0,1.0,0.3333,0.6667,0.6667,0.3333,1.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.3333,0.6667,0.6667,0.3333,1.0,0.6667,0.6667,0.6667,0.6667,0.6667
extension -> reindexing,0.4078,0.5625,0.6094,0.3594,0.25,0.25,0.5625,0.6094,0.5,0.25,0.5,0.25,1.0,0.375,0.5,0.625,0.625,0.625,0.5,0.625,0.625,0.625,0.625,0.375,0.5,0.625,0.625,0.625,0.5,0.625,0.625,0.625,0.625
iteration,0.65,0.875,1.0,0.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.865,1.0,0.95,0.75,0.8,0.2,1.0,0.95,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0
iteration -> partitioning,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
iteration -> permutation,0.5,0.5,0.6,0.4,0.6,0.2,0.5,0.6,0.4,0.6,0.4,0.6,1.0,0.2,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
iteration -> reindexing,0.4266,0.4688,0.7031,0.5469,0.25,0.25,0.4688,0.7031,0.5,0.25,0.5,0.25,1.0,0.5,0.5,0.5,0.375,0.5,0.75,0.625,0.75,0.75,0.625,0.5,0.5,0.5,0.375,0.5,0.75,0.625,0.75,0.75,0.625
partitioning,0.35,0.125,0.25,0.0,1.0,1.0,0.125,0.25,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
