chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.8219,1.0,0.75,0.6562,0.75,0.25,1.0,0.75,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.5,1.0,1.0
extension -> iteration,0.7725,0.75,0.975,0.975,0.6,0.0,0.75,0.975,1.0,0.6,1.0,0.6,1.0,0.4,0.8,0.6,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.4,0.8,0.6,1.0,0.8,0.8,1.0,1.0,1.0,1.0
extension -> partitioning,0.9708,0.9583,0.9583,0.9583,1.0,0.0,0.9583,0.9583,0.0,1.0,0.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0
extension -> reindexing,0.6656,0.8906,0.8594,0.5312,0.5,0.375,0.8906,0.8594,0.875,0.5,0.875,0.5,1.0,0.75,0.875,1.0,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.75,0.875,1.0,0.875,0.875,0.75,0.875,0.875,0.875,0.875
iteration,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.8225,0.875,0.975,0.775,0.8,0.2,0.875,0.975,1.0,0.8,1.0,0.8,1.0,0.8,0.8,0.8,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,0.8,1.0,1.0,1.0,1.0
iteration -> partitioning,0.85,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> permutation,0.82,1.0,1.0,0.8,0.6,0.2,1.0,1.0,1.0,0.6,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> reindexing,0.7406,0.9844,0.7969,0.6562,0.5,0.25,0.9844,0.7969,0.625,0.5,0.625,0.5,1.0,0.875,1.0,1.0,1.0,1.0,0.875,0.75,0.75,0.875,0.75,0.875,1.0,1.0,1.0,1.0,0.875,0.75,0.75,0.875,0.75
partitioning,0.05,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
partitioning -> extension,0.3375,0.2812,0.5,0.5,0.25,0.0,0.2812,0.5,0.0,0.25,0.0,0.25,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5
