chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.7375,0.9062,0.5625,0.5,0.75,0.25,0.9062,0.5625,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.5,0.5,0.75,0.5,1.0,1.0,0.75,1.0,0.75,0.5,0.5,0.5,0.75,0.5
extension -> iteration,0.5675,0.5,0.825,0.825,0.4,0.0,0.5,0.825,0.4,0.4,0.4,0.4,1.0,0.4,0.4,0.4,0.8,0.4,0.8,0.8,1.0,0.8,0.6,0.4,0.4,0.4,0.8,0.4,0.8,0.8,1.0,0.8,0.6
extension -> partitioning,0.5375,0.5,0.4583,0.4583,0.6667,0.0,0.5,0.4583,0.0,0.6667,0.0,0.6667,1.0,0.3333,1.0,0.6667,0.0,0.3333,0.3333,0.3333,0.3333,0.6667,0.6667,0.3333,1.0,0.6667,0.0,0.3333,0.3333,0.3333,0.3333,0.6667,0.6667
extension -> reindexing,0.6969,0.6875,0.9062,0.6562,0.75,0.25,0.6875,0.9062,0.75,0.75,0.75,0.75,1.0,0.5,0.5,0.75,0.75,1.0,0.875,1.0,0.875,0.875,0.875,0.5,0.5,0.75,0.75,1.0,0.875,1.0,0.875,0.875,0.875
iteration,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> extension,0.815,0.95,0.85,0.65,0.8,0.2,0.95,0.85,1.0,0.8,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.8,0.8,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.8,0.8,0.8,1.0,0.8
iteration -> partitioning,0.85,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration -> permutation,0.8125,1.0,0.975,0.775,0.6,0.2,1.0,0.975,1.0,0.6,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
iteration -> reindexing,0.5453,0.5312,0.8594,0.6094,0.5,0.25,0.5312,0.8594,0.625,0.5,0.625,0.5,1.0,0.625,0.375,0.625,0.5,0.625,0.75,0.875,0.875,0.875,0.875,0.625,0.375,0.625,0.5,0.625,0.75,0.875,0.875,0.875,0.875
partitioning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning -> extension,0.3625,0.3438,0.5,0.5,0.25,0.0,0.3438,0.5,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5
partitioning -> iteration,0.7208,0.7708,0.7083,0.7083,0.6667,0.0,0.7708,0.7083,0.0,0.6667,0.0,0.6667,1.0,0.6667,0.8333,0.8333,0.6667,0.8333,0.8333,0.6667,0.6667,0.6667,0.8333,0.6667,0.8333,0.8333,0.6667,0.8333,0.8333,0.6667,0.6667,0.6667,0.8333
partitioning -> permutation,0.35,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
partitioning -> reindexing,0.62,0.575,0.7,0.5,0.8,0.2,0.575,0.7,0.2,0.8,0.2,0.8,1.0,0.6,0.4,0.6,0.8,0.4,0.6,0.8,0.8,0.6,0.6,0.6,0.4,0.6,0.8,0.4,0.6,0.8,0.8,0.6,0.6
permutation,0.5062,0.6562,0.5625,0.3125,0.5,0.25,0.6562,0.5625,0.75,0.5,0.75,0.5,1.0,1.0,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.25,0.5,1.0,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.25,0.5
permutation -> extension,0.5875,0.625,0.625,0.625,0.5,0.0,0.625,0.625,0.75,0.5,0.75,0.5,1.0,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75
permutation -> iteration,0.725,0.6875,1.0,1.0,0.5,0.0,0.6875,1.0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
permutation -> partitioning,0.575,0.3125,1.0,1.0,0.5,0.0,0.3125,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
permutation -> reindexing,0.3375,0.625,0.2917,0.2917,0.0,0.0,0.625,0.2917,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.0,0.3333,0.6667,0.0,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.0,0.3333,0.6667,0.0
reindexing,0.7321,0.625,0.75,0.75,0.8571,0.0,0.625,0.75,0.7143,0.8571,0.7143,0.8571,1.0,0.2857,0.7143,0.7143,0.5714,0.7143,0.5714,0.7143,0.7143,0.8571,0.8571,0.2857,0.7143,0.7143,0.5714,0.7143,0.5714,0.7143,0.7143,0.8571,0.8571
reindexing -> extension,0.8,0.875,0.9375,0.5,1.0,0.5,0.875,0.9375,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0
reindexing -> iteration,0.4833,0.4583,1.0,0.6667,0.3333,0.3333,0.4583,1.0,0.3333,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,0.3333,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0
reindexing -> partitioning,0.3833,0.4583,0.5,0.1667,0.5,0.3333,0.4583,0.5,0.0,0.5,0.0,0.5,1.0,0.1667,0.3333,0.5,0.6667,0.5,0.5,0.5,0.5,0.5,0.5,0.1667,0.3333,0.5,0.6667,0.5,0.5,0.5,0.5,0.5,0.5
reindexing -> permutation,0.62,0.65,0.8,0.6,0.6,0.2,0.65,0.8,0.0,0.6,0.0,0.6,1.0,0.8,0.6,0.6,0.6,0.8,0.6,0.6,0.8,1.0,1.0,0.8,0.6,0.6,0.6,0.8,0.6,0.6,0.8,1.0,1.0
