chain_families,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension,0.225,0.5625,0.0938,0.0,0.0,0.5,0.5625,0.0938,0.5,0.0,0.5,0.0,1.0,0.5,0.75,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.25,0.5,0.75,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.25
extension -> iteration,0.1725,0.0,0.375,0.375,0.2,0.0,0.0,0.375,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.6
extension -> partitioning,0.0833,0.2083,0.0,0.0,0.0,0.0,0.2083,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extension -> reindexing,0.0516,0.0,0.0469,0.0469,0.125,0.0,0.0,0.0469,0.0,0.125,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0
iteration,0.1625,0.2188,0.125,0.0,0.25,0.25,0.2188,0.125,0.5,0.25,0.5,0.25,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25
iteration -> extension,0.1325,0.2,0.375,0.175,0.0,0.2,0.2,0.375,0.2,0.0,0.2,0.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4
iteration -> partitioning,0.25,0.625,0.0,0.0,0.0,0.5,0.625,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
iteration -> permutation,0.23,0.05,0.3,0.3,0.4,0.0,0.05,0.3,0.2,0.4,0.2,0.4,1.0,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.4,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.4,0.2,0.4
iteration -> reindexing,0.075,0.0938,0.125,0.125,0.0,0.0,0.0938,0.125,0.0,0.0,0.0,0.0,1.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.25,0.125,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.25,0.125,0.0
partitioning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning -> extension,0.2125,0.3438,0.25,0.25,0.0,0.0,0.3438,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25
partitioning -> iteration,0.0417,0.1042,0.0,0.0,0.0,0.0,0.1042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1667,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0
partitioning -> permutation,0.1062,0.125,0.1875,0.1875,0.0,0.0,0.125,0.1875,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
partitioning -> reindexing,0.15,0.225,0.1,0.0,0.2,0.2,0.225,0.1,0.0,0.2,0.0,0.2,1.0,0.0,0.2,0.2,0.2,0.6,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.6,0.2,0.0,0.0,0.2,0.2
permutation,0.0125,0.0312,0.25,0.0,0.0,0.25,0.0312,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25
permutation -> extension,0.1469,0.0625,0.1562,0.1562,0.25,0.0,0.0625,0.1562,0.5,0.25,0.5,0.25,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
