rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_pad_pad_val_0,0.4891,0.25,0.6719,0.6719,0.625,0.0,0.25,0.6719,0.25,0.625,0.25,0.625,1.0,0.125,0.125,0.25,0.375,0.375,0.375,0.625,0.75,0.75,0.75,0.125,0.125,0.25,0.375,0.375,0.375,0.625,0.75,0.75,0.75
extension_pad_pad_val_1,0.1375,0.0357,0.3125,0.3125,0.1429,0.0,0.0357,0.3125,0.3333,0.1667,0.3333,0.1667,0.8571,0.0,0.1429,0.0,0.0,0.0,0.3333,0.1667,0.1667,0.5,0.5,0.0,0.1429,0.0,0.0,0.0,0.3333,0.1667,0.1667,0.5,0.5
extension_pad_pad_val_9,0.2812,0.0,0.6875,0.6875,0.25,0.0,0.0,0.6875,0.5,0.25,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.75,0.75
iteration_tile_axis_0,0.3764,0.3889,0.4531,0.4531,0.3333,0.0,0.3889,0.4531,0.5,0.375,0.5,0.375,0.8889,0.2222,0.3333,0.4444,0.4444,0.4444,0.25,0.5,0.5,0.375,0.625,0.2222,0.3333,0.4444,0.4444,0.4444,0.25,0.5,0.5,0.375,0.625
iteration_tile_axis_1,0.3548,0.2596,0.375,0.375,0.4615,0.0,0.2596,0.375,0.4615,0.4615,0.4615,0.4615,1.0,0.0769,0.2308,0.3077,0.3077,0.3077,0.2308,0.3846,0.3846,0.3846,0.4615,0.0769,0.2308,0.3077,0.3077,0.3077,0.2308,0.3846,0.3846,0.3846,0.4615
partitioning_crop_quadrant_1,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
partitioning_crop_quadrant_2,0.26,0.05,0.4,0.4,0.4,0.0,0.05,0.2,0.0,0.4,0.0,0.4,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4
partitioning_crop_quadrant_3,0.2125,0.0625,0.375,0.375,0.25,0.0,0.0625,0.375,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.5,0.25,0.25
partitioning_crop_quadrant_4,0.4975,0.325,0.5312,0.5312,0.8,0.0,0.325,0.125,0.5,0.5,0.5,1.0,0.8,0.3,0.4,0.3,0.4,0.1,0.0,0.25,0.0,0.0,0.5,0.3,0.4,0.3,0.4,0.1,0.25,0.75,0.25,0.5,1.0
permutation_transpose,0.3792,0.3958,0.4265,0.4265,0.3333,0.0,0.3958,0.4044,0.2941,0.3529,0.2941,0.3529,0.9444,0.2222,0.3333,0.4444,0.4444,0.5,0.2941,0.3529,0.4118,0.4706,0.4706,0.2222,0.3333,0.4444,0.4444,0.5,0.3529,0.4118,0.4118,0.4706,0.4706
reindexing_spatial_shift_axis_0_shift_-1,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
reindexing_spatial_shift_axis_0_shift_1,0.5518,0.4821,0.625,0.625,0.5714,0.0,0.4821,0.5714,0.2857,0.5714,0.2857,0.5714,1.0,0.2857,0.2857,0.4286,0.7143,0.7143,0.5714,0.5714,0.5714,0.5714,0.5714,0.2857,0.2857,0.4286,0.7143,0.7143,0.7143,0.5714,0.7143,0.5714,0.5714
reindexing_spatial_shift_axis_1_shift_-1,0.1625,0.0312,0.25,0.25,0.25,0.0,0.0312,0.25,0.0,0.25,0.0,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25
reindexing_spatial_shift_axis_1_shift_1,0.2906,0.375,0.3438,0.3438,0.125,0.0,0.375,0.3438,0.25,0.125,0.25,0.125,1.0,0.25,0.5,0.375,0.25,0.5,0.25,0.375,0.375,0.375,0.25,0.25,0.5,0.375,0.25,0.5,0.25,0.375,0.375,0.375,0.25
