rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_pad_pad_val_0,0.5875,0.5156,0.5208,0.5208,0.75,0.0,0.5156,0.5208,0.75,0.75,0.75,0.75,1.0,0.25,0.5,0.5,0.625,0.625,0.5,0.375,0.5,0.625,0.6667,0.25,0.5,0.5,0.625,0.625,0.5,0.375,0.5,0.625,0.6667
extension_pad_pad_val_1,0.3679,0.25,0.4643,0.4643,0.4286,0.0,0.25,0.4643,0.5714,0.4286,0.5714,0.4286,1.0,0.2857,0.2857,0.1429,0.2857,0.2857,0.1429,0.2857,0.4286,0.7143,0.7143,0.2857,0.2857,0.1429,0.2857,0.2857,0.1429,0.2857,0.4286,0.7143,0.7143
extension_pad_pad_val_9,0.3438,0.25,0.3125,0.3125,0.5,0.0,0.25,0.3125,0.25,0.5,0.25,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.5,0.5
iteration_tile_axis_0,0.8139,0.7639,0.8056,0.8056,0.8889,0.0,0.7639,0.8056,0.8889,0.8889,0.8889,0.8889,1.0,0.5556,0.6667,0.7778,0.8889,0.8889,0.3333,0.6667,0.8889,1.0,1.0,0.5556,0.6667,0.7778,0.8889,0.8889,0.3333,0.6667,0.8889,1.0,1.0
iteration_tile_axis_1,0.6635,0.5769,0.75,0.75,0.6923,0.0,0.5769,0.75,0.9231,0.6923,0.9231,0.6923,1.0,0.3077,0.3846,0.6154,0.7692,0.7692,0.5385,0.6923,0.8462,0.7692,0.8462,0.3077,0.3846,0.6154,0.7692,0.7692,0.5385,0.6923,0.8462,0.7692,0.8462
partitioning_crop_quadrant_1,0.7725,0.6375,0.925,0.925,0.8,0.0,0.6375,0.925,0.8,0.8,0.8,0.8,1.0,0.5333,0.6333,0.6333,0.6333,0.7667,0.8,0.8,1.0,1.0,1.0,0.5333,0.6333,0.6333,0.6333,0.7667,0.8,0.8,1.0,1.0,1.0
partitioning_crop_quadrant_2,0.745,0.475,0.85,0.85,1.0,0.0,0.475,0.85,0.6,1.0,0.6,1.0,1.0,0.4,0.2,0.4,0.8,0.6,0.6,0.8,1.0,0.8,1.0,0.4,0.2,0.4,0.8,0.6,0.6,0.8,1.0,0.8,1.0
partitioning_crop_quadrant_3,0.7281,0.5312,0.7188,0.7188,1.0,0.0,0.5312,0.7188,0.25,1.0,0.25,1.0,1.0,0.0,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.0,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75
partitioning_crop_quadrant_4,0.785,0.725,0.65,0.65,1.0,0.0,0.35,0.65,0.2,1.0,0.4,1.0,1.0,0.4,0.2,0.4,0.4,0.4,0.2,0.6,0.6,0.8,1.0,0.6,0.6,0.8,0.8,0.8,0.2,0.6,0.6,0.8,1.0
permutation_transpose,0.6462,0.6181,0.6632,0.6632,0.6667,0.0,0.6181,0.6632,0.7222,0.6667,0.7222,0.6667,1.0,0.2222,0.5556,0.7222,0.7222,0.7222,0.3889,0.5556,0.6944,0.7778,0.8611,0.2222,0.5556,0.7222,0.7222,0.7222,0.3889,0.5556,0.6944,0.7778,0.8611
reindexing_spatial_shift_axis_0_shift_-1,0.6167,0.6667,0.5,0.5,0.6667,0.0,0.6667,0.5,0.3333,0.6667,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.3333,0.6667,1.0
reindexing_spatial_shift_axis_0_shift_1,0.6446,0.6071,0.7679,0.7679,0.5714,0.0,0.6071,0.7679,0.2857,0.5714,0.2857,0.5714,1.0,0.4286,0.5714,0.5714,0.7143,0.7143,0.8571,0.8571,0.7143,0.7143,0.7143,0.4286,0.5714,0.5714,0.7143,0.7143,0.8571,0.8571,0.7143,0.7143,0.7143
reindexing_spatial_shift_axis_1_shift_-1,0.7094,0.625,0.7812,0.7812,0.75,0.0,0.625,0.7812,1.0,0.75,1.0,0.75,1.0,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0
reindexing_spatial_shift_axis_1_shift_1,0.6062,0.7188,0.5625,0.5625,0.5,0.0,0.7188,0.5625,0.625,0.5,0.625,0.5,1.0,0.5,0.75,0.75,0.75,0.75,0.25,0.5,0.75,0.625,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.5,0.75,0.625,0.5
