rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_pad_pad_val_0,0.443,0.375,0.5391,0.5391,0.4375,0.0,0.375,0.5391,0.25,0.4375,0.25,0.4375,1.0,0.25,0.25,0.5,0.375,0.5,0.1875,0.5,0.5417,0.75,0.5417,0.25,0.25,0.5,0.375,0.5,0.1875,0.5,0.5417,0.75,0.5417
extension_pad_pad_val_1,0.1714,0.0714,0.1905,0.1905,0.2857,0.0,0.0714,0.1905,0.4286,0.2857,0.4286,0.2857,1.0,0.0,0.0,0.0,0.1429,0.2857,0.1905,0.0476,0.0476,0.4762,0.1905,0.0,0.0,0.0,0.1429,0.2857,0.1905,0.0476,0.0476,0.4762,0.1905
extension_pad_pad_val_9,0.3531,0.0625,0.5938,0.5938,0.5,0.0,0.0625,0.5938,0.25,0.5,0.25,0.5,1.0,0.0,0.0,0.25,0.0,0.0,0.25,1.0,0.5,0.25,1.0,0.0,0.0,0.25,0.0,0.0,0.25,1.0,0.5,0.25,1.0
iteration_tile_axis_0,0.4403,0.5278,0.3194,0.3194,0.4444,0.0,0.5278,0.3194,0.7778,0.4444,0.7778,0.4444,1.0,0.4444,0.4444,0.5556,0.5926,0.5926,0.1111,0.3333,0.3333,0.3333,0.4444,0.4444,0.4444,0.5556,0.5926,0.5926,0.1111,0.3333,0.3333,0.3333,0.4444
iteration_tile_axis_1,0.3913,0.4808,0.4327,0.4327,0.2308,0.0,0.4808,0.4327,0.7692,0.2308,0.7692,0.2308,1.0,0.2308,0.3846,0.5385,0.5385,0.6923,0.3846,0.3846,0.5385,0.4231,0.3846,0.2308,0.3846,0.5385,0.5385,0.6923,0.3846,0.3846,0.5385,0.4231,0.3846
partitioning_crop_quadrant_1,0.3575,0.575,0.425,0.425,0.0,0.0,0.575,0.25,0.4,0.0,0.4,0.0,1.0,0.6,0.6,0.6,0.6,0.4,0.2,0.0,0.6,0.2,0.2,0.6,0.6,0.6,0.6,0.4,0.2,0.2,0.8,0.4,0.4
partitioning_crop_quadrant_2,0.5325,0.525,0.475,0.475,0.6,0.0,0.525,0.3,0.6,0.4,0.6,0.6,1.0,0.4,0.6,0.4,0.6,0.6,0.2,0.4,0.4,0.2,0.2,0.4,0.6,0.4,0.6,0.6,0.2,0.6,0.6,0.4,0.4
partitioning_crop_quadrant_3,0.4406,0.2812,0.5938,0.5938,0.5,0.0,0.2812,0.4688,0.0,0.5,0.0,0.5,1.0,0.25,0.0,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.0,0.5,0.25,0.5,0.25,0.75,0.5,0.75,0.5
partitioning_crop_quadrant_4,0.285,0.45,0.15,0.15,0.2,0.0,0.45,0.15,0.4,0.2,0.4,0.2,1.0,0.4,0.6,0.2,0.6,0.4,0.0,0.2,0.0,0.2,0.4,0.4,0.6,0.2,0.6,0.4,0.0,0.2,0.0,0.2,0.4
permutation_transpose,0.2993,0.3264,0.3403,0.3403,0.2222,0.0,0.2986,0.3056,0.1111,0.2222,0.2222,0.2222,1.0,0.2778,0.2222,0.3889,0.2778,0.3333,0.2222,0.3889,0.3333,0.2778,0.2222,0.2778,0.2222,0.4444,0.3333,0.3333,0.2222,0.4444,0.3889,0.2778,0.2778
reindexing_spatial_shift_axis_0_shift_-1,0.5958,0.7083,0.7083,0.7083,0.3333,0.0,0.7083,0.7083,0.0,0.3333,0.0,0.3333,1.0,1.0,0.3333,1.0,0.6667,0.6667,1.0,1.0,0.3333,0.6667,0.6667,1.0,0.3333,1.0,0.6667,0.6667,1.0,1.0,0.3333,0.6667,0.6667
reindexing_spatial_shift_axis_0_shift_1,0.5696,0.5,0.5179,0.5179,0.7143,0.0,0.5,0.5179,0.4286,0.7143,0.4286,0.7143,1.0,0.2857,0.5714,0.4286,0.5714,0.5714,0.8571,0.4286,0.5714,0.4286,0.4286,0.2857,0.5714,0.4286,0.5714,0.5714,0.8571,0.4286,0.5714,0.4286,0.4286
reindexing_spatial_shift_axis_1_shift_-1,0.3875,0.5938,0.5,0.5,0.0,0.0,0.5938,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.75,0.75,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0.5,0.5,0.5,0.75
reindexing_spatial_shift_axis_1_shift_1,0.3719,0.7656,0.2188,0.2188,0.0,0.0,0.7656,0.2188,0.5,0.0,0.5,0.0,1.0,0.625,0.875,0.75,0.75,0.75,0.25,0.125,0.375,0.125,0.25,0.625,0.875,0.75,0.75,0.75,0.25,0.125,0.375,0.125,0.25
