rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_pad_pad_val_0,0.1312,0.0938,0.3125,0.3125,0.0,0.0,0.0938,0.0625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.1875,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.1875,0.125,0.125,0.25,0.375,0.375,0.375
extension_pad_pad_val_1,0.0804,0.0,0.125,0.125,0.1429,0.0,0.0,0.125,0.0,0.1429,0.0,0.1429,1.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.2857,0.2857,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.2857,0.2857
extension_pad_pad_val_9,0.2125,0.0,0.4583,0.4583,0.25,0.0,0.0,0.2708,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5833,0.5,0.5,0.5
iteration_tile_axis_0,0.3685,0.2546,0.4444,0.4444,0.4444,0.0,0.1944,0.2639,0.2222,0.1111,0.4444,0.4444,1.0,0.0,0.1111,0.1111,0.3333,0.4444,0.1111,0.2222,0.3333,0.2222,0.4444,0.0,0.1481,0.1481,0.4444,0.5556,0.1111,0.4444,0.5556,0.4444,0.5556
iteration_tile_axis_1,0.1394,0.125,0.2212,0.2212,0.0769,0.0,0.125,0.0865,0.1538,0.0,0.2308,0.0769,1.0,0.0,0.0769,0.2308,0.0769,0.2308,0.0769,0.0769,0.0769,0.0769,0.1538,0.0,0.0769,0.2308,0.0769,0.2308,0.1538,0.2308,0.3077,0.1538,0.2308
partitioning_crop_quadrant_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_crop_quadrant_2,0.1425,0.0,0.075,0.075,0.4,0.0,0.0,0.025,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
partitioning_crop_quadrant_3,0.1969,0.1875,0.1562,0.1562,0.25,0.0,0.1875,0.1562,0.25,0.25,0.25,0.25,1.0,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.25
partitioning_crop_quadrant_4,0.1925,0.2,0.175,0.175,0.2,0.0,0.2,0.0,0.4,0.0,0.4,0.2,1.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.4
permutation_transpose,0.134,0.1319,0.2153,0.2153,0.0556,0.0,0.0694,0.0903,0.0556,0.0556,0.0556,0.0556,1.0,0.1111,0.0556,0.0,0.1111,0.1111,0.1111,0.1111,0.1111,0.0556,0.0556,0.1111,0.1111,0.0556,0.2222,0.1667,0.2222,0.2778,0.2222,0.1667,0.1667
reindexing_spatial_shift_axis_0_shift_-1,0.4792,0.6667,0.375,0.375,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,1.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.6667,0.6667,0.3333
reindexing_spatial_shift_axis_0_shift_1,0.0643,0.0536,0.1429,0.1429,0.0,0.0,0.0536,0.1429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1429,0.1429,0.1429,0.0,0.2857,0.1429,0.1429,0.0,0.0,0.0,0.1429,0.1429,0.1429,0.0,0.2857,0.1429,0.1429
reindexing_spatial_shift_axis_1_shift_-1,0.225,0.0,0.25,0.25,0.5,0.0,0.0,0.25,0.0,0.25,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25
reindexing_spatial_shift_axis_1_shift_1,0.0938,0.0,0.1875,0.1875,0.125,0.0,0.0,0.0625,0.0,0.125,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.25,0.125
