rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_pad_pad_val_0,0.5367,0.4531,0.6849,0.6849,0.5,0.0,0.1875,0.4818,0.625,0.375,0.75,0.5,1.0,0.25,0.125,0.125,0.25,0.25,0.1667,0.5,0.5625,0.5,0.5625,0.25,0.3125,0.375,0.75,0.5,0.4167,0.625,0.9375,0.625,0.6875
extension_pad_pad_val_1,0.4339,0.4821,0.375,0.375,0.4286,0.0,0.0714,0.2143,0.2857,0.2857,0.8571,0.4286,1.0,0.0,0.0,0.1429,0.1429,0.0,0.0,0.1429,0.1429,0.4286,0.2857,0.1429,0.5238,0.4286,0.619,0.5714,0.1429,0.2857,0.2857,0.5714,0.5714
extension_pad_pad_val_9,0.2802,0.1146,0.5312,0.5312,0.25,0.0,0.0938,0.25,0.0,0.25,0.75,0.25,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0833,0.25,0.25,0.25,0.5,0.75,0.5,0.5
iteration_tile_axis_0,0.7736,0.8194,0.7083,0.7083,0.7778,0.0,0.7639,0.5833,0.7778,0.5556,0.8889,0.7778,1.0,0.5556,0.7778,0.7778,0.7778,0.8889,0.4444,0.4444,0.6667,0.6667,0.6667,0.5556,0.7778,0.8889,0.8889,0.8889,0.4444,0.5556,0.8889,0.7778,0.7778
iteration_tile_axis_1,0.2962,0.2212,0.4615,0.4615,0.2308,0.0,0.1154,0.2308,0.3846,0.2308,0.5385,0.2308,1.0,0.0769,0.0769,0.1538,0.0769,0.2308,0.1538,0.1538,0.3077,0.2308,0.3077,0.1538,0.1538,0.2308,0.2308,0.3846,0.3077,0.4615,0.4615,0.4615,0.6154
partitioning_crop_quadrant_1,0.42,0.3,0.4,0.4,0.6,0.0,0.3,0.1,0.6,0.4,0.6,0.6,1.0,0.0,0.2667,0.3333,0.4,0.4,0.2,0.0,0.0,0.2,0.2,0.0,0.2667,0.3333,0.4,0.4,0.4,0.2,0.6,0.4,0.4
partitioning_crop_quadrant_2,0.4996,0.3583,0.3875,0.3875,0.8,0.0,0.3583,0.125,0.4,0.6,0.4,0.8,1.0,0.4,0.2,0.6,0.2,0.4667,0.0,0.0,0.0,0.4,0.2,0.4,0.2,0.6,0.2,0.4667,0.3,0.2,0.3,0.6,0.6
partitioning_crop_quadrant_3,0.5562,0.5,0.4375,0.4375,0.75,0.0,0.4062,0.0938,0.25,0.25,0.5,0.75,1.0,0.25,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.5,0.75,0.75,0.5,0.25,0.5,0.5,0.5
partitioning_crop_quadrant_4,0.485,0.5,0.55,0.55,0.4,0.0,0.5,0.2,0.8,0.0,0.8,0.4,1.0,0.0,0.2,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.8,0.8,0.4,0.4,0.4,0.6,0.8,0.4
permutation_transpose,0.5241,0.5671,0.4907,0.4907,0.5,0.0,0.2986,0.2407,0.2778,0.2778,0.7778,0.5,1.0,0.1667,0.3333,0.2778,0.3333,0.3333,0.1667,0.2222,0.2407,0.2222,0.3889,0.2778,0.5,0.6296,0.6667,0.6667,0.3333,0.5278,0.5463,0.4722,0.5
reindexing_spatial_shift_axis_0_shift_-1,0.5583,0.8333,0.75,0.75,0.0,0.0,0.8333,0.5,0.6667,0.0,0.6667,0.0,1.0,0.6667,1.0,0.6667,1.0,0.6667,0.6667,1.0,0.0,0.3333,0.6667,0.6667,1.0,0.6667,1.0,0.6667,1.0,1.0,0.3333,0.6667,1.0
reindexing_spatial_shift_axis_0_shift_1,0.6643,0.5893,0.8571,0.8571,0.5714,0.0,0.3393,0.4107,0.4286,0.5714,0.4286,0.5714,1.0,0.0,0.1429,0.4286,0.5714,0.4286,0.4286,0.4286,0.4286,0.4286,0.2857,0.2857,0.4286,0.7143,0.7143,0.7143,0.8571,1.0,0.7143,1.0,0.5714
reindexing_spatial_shift_axis_1_shift_-1,0.6969,0.6875,0.6562,0.6562,0.75,0.0,0.6562,0.5938,0.75,0.5,1.0,0.75,1.0,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.75,1.0,0.75,0.75,0.5,0.5,1.0
reindexing_spatial_shift_axis_1_shift_1,0.6344,0.7188,0.6562,0.6562,0.5,0.0,0.4844,0.3594,0.375,0.25,0.625,0.5,1.0,0.375,0.5,0.5,0.5,0.5,0.25,0.375,0.5,0.25,0.375,0.5,0.75,0.75,0.75,0.75,0.375,0.625,0.75,0.625,0.875
