rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_pad_pad_val_0,0.2266,0.2031,0.9375,0.9375,0.25,0.0,0.2031,0.9375,0.0,1.0,0.0,1.0,0.25,0.125,0.125,0.25,0.25,0.25,0.5,1.0,1.0,1.0,1.0,0.125,0.125,0.25,0.25,0.25,0.5,1.0,1.0,1.0,1.0
extension_pad_pad_val_1,0.1232,0.2143,0.4375,0.4375,0.0,0.0,0.2143,0.4375,0.0,0.0,0.0,0.0,0.2857,0.0,0.1429,0.2857,0.2857,0.2857,0.0,0.5,0.5,0.5,0.5,0.0,0.1429,0.2857,0.2857,0.2857,0.0,0.5,0.5,0.5,0.5
extension_pad_pad_val_9,0.1281,0.1562,0.875,0.875,0.0,0.0,0.1562,0.875,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.25,0.25,0.0,1.0,1.0,1.0,1.0
iteration_tile_axis_0,0.2181,0.2222,0.625,0.625,0.2222,0.0,0.2222,0.625,0.6667,0.6667,0.6667,0.6667,0.3333,0.2222,0.2222,0.2222,0.2222,0.2222,0.3333,0.6667,0.6667,0.6667,0.6667,0.2222,0.2222,0.2222,0.2222,0.2222,0.3333,0.6667,0.6667,0.6667,0.6667
iteration_tile_axis_1,0.0308,0.0769,0.0,0.0,0.0,0.0,0.0769,0.0,0.5,0.0,0.5,0.0,0.1538,0.0769,0.0769,0.0769,0.0769,0.0769,0.0,0.0,0.0,0.0,0.0,0.0769,0.0769,0.0769,0.0769,0.0769,0.0,0.0,0.0,0.0,0.0
partitioning_crop_quadrant_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_crop_quadrant_2,0.0,0.0,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
partitioning_crop_quadrant_3,0.1,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
partitioning_crop_quadrant_4,0.2675,0.2,0.5625,0.5625,0.4,0.0,0.2,0.5625,0.5,1.0,0.5,1.0,0.4,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,1.0,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,1.0
permutation_transpose,0.0389,0.0556,1.0,1.0,0.0,0.0,0.0556,1.0,0.0,0.0,0.0,0.0,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,1.0,1.0,1.0,1.0,1.0,0.0556,0.0556,0.0556,0.0556,0.0556,1.0,1.0,1.0,1.0,1.0
reindexing_spatial_shift_axis_0_shift_-1,0.0,0.0,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
reindexing_spatial_shift_axis_0_shift_1,0.0696,0.0536,0.125,0.125,0.1429,0.0,0.0536,0.125,1.0,1.0,1.0,1.0,0.1429,0.0,0.0,0.0,0.1429,0.1429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.1429,1.0,0.0,0.0,0.0,0.0
reindexing_spatial_shift_axis_1_shift_-1,0.0,0.0,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
reindexing_spatial_shift_axis_1_shift_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
